site_no,station_nm,map_nm,drain_area_va
01110500,"BLACKSTONE RIVER AT NORTHBRIDGE, MA",GRAFTON,141
01127000,"QUINEBAUG RIVER AT JEWETT CITY, CT","JEWETT CITY, CT",713
01183500,"WESTFIELD RIVER NEAR WESTFIELD, MA","SPRINGFIELD WEST, MA",497
01188090,"FARMINGTON RIVER AT UNIONVILLE, CT","COLLINSVILLE, CT",378
01302020,BRONX RIVER AT NY BOTANICAL GARDEN AT BRONX NY,"FLUSHING, NY",38.4
01379500,Passaic River near Chatham NJ,Chatham,100
01403900,Bound Brook at Middlesex NJ,Bound Brook,48.4
01451500,"Little Lehigh Creek near Allentown, PA",NA,80.8
01474500,"Schuylkill River at Philadelphia, PA",PHILADELPHIA QUAD,1893
01536000,"Lackawanna River at Old Forge, PA",MOSCOW,332
01556000,"Frankstown Br Juniata River at Williamsburg, PA",NA,291
01573600,"Swatara Creek at Middletown, PA",MIDDLETOWN,569
01613525,"LICKING CREEK AT PECTONVILLE, MD",Cherry Run,193
02377570,"STYX RIVER NEAR ELSANOR, AL.",NA,192
02439400,"BUTTAHATCHEE RIVER NR ABERDEEN, MS",116D AMORY SE,798
02466030,"BLACK WARRIOR RIVER AT SELDEN L & D NEAR EUTAW, AL",NA,5810
02481660,"JOURDAN RIVER NR BAY ST LOUIS, MS",392A KILN,210
02481880,"PEARL RIVER AT BURNSIDE, MS",193D PHILADELPHIA,520
02491500,"Bogue Chitto River at Franklinton, LA",NA,990
02492360,"WEST HOBOLOCHITTO CREEK NR MCNEILL, MS",371A MCNEILL,175
03053500,"BUCKHANNON RIVER AT HALL, WV",NA,277
03200500,"COAL RIVER AT TORNADO, WV",NA,858
03431599,"WHITES CREEK NEAR BORDEAUX, TN",NA,51.3
03574500,PAINT ROCK RIVER NEAR WOODVILLE AL,NA,320
03603000,"DUCK RIVER ABOVE HURRICANE MILLS, TN",NA,2557
07026040,"OBION RIVER AT HWY 51 NEAR OBION, TN",TRIMBLE QUAD 428 NW,1875
07291000,"HOMOCHITTO RIVER AT EDDICETON, MS",286D EDDICETON,181
07369500,"Tensas River at Tendal, LA",NA,309
07374525,"Mississippi River at Belle Chasse, LA","BELLE CHASSE, LA",1130000
07374581,"Bayou Liberty near Slidell,LA",NA,NA
07375280,"TANGIPAHOA RIVER AT OSYKA, MS",328C OSYKA,158
07375500,"Tangipahoa River at Robert, LA",ROBERT 153D,646
07377000,"Amite River near Darlington, LA",NA,580
07380200,"Amite River near French Settlement, LA",NA,1750
07381324,"Bayou Grand Caillou at Dulac, LA",NA,NA
301104089253400,MISSISSIPPI SOUND AT USGS ST JOSEPH ISLAND LIGHT,412A GRAND ISLAND PA,NA
